week,period_start,period_end,snapshot_date,segment,active,added_this_week,removed_sold_proxy,net_change,status
Week 9,2026-06-19,2026-06-25,2026-06-25,Trophy Signature Homes,360,52,30,+22,captured
Week 9,2026-06-19,2026-06-25,2026-06-25,CB JENI Homes,50,4,5,-1,captured
Week 9,2026-06-19,2026-06-25,2026-06-25,Normandy Homes,68,6,5,+1,captured
Week 9,2026-06-19,2026-06-25,2026-06-25,Centre Living Homes,39,2,2,0,captured
Week 9,2026-06-19,2026-06-25,2026-06-25,The Providence Group,121,17,9,+8,captured
Week 9,2026-06-19,2026-06-25,2026-06-25,GHO Homes,35,1,3,-2,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,Total tracked,654,41,78,-37,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,Southgate Homes,19,3,2,+1,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,Trophy Signature Homes,345,22,37,-15,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,CB JENI Homes,49,4,5,-1,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,Normandy Homes,62,1,7,-6,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,Centre Living Homes,38,2,3,-1,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,The Providence Group,102,4,23,-19,captured
Week 10,2026-06-26,2026-07-02,2026-07-02,GHO Homes,39,5,1,+4,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,Total tracked,644,39,49,-10,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,Southgate Homes,19,0,0,0,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,Trophy Signature Homes,336,21,30,-9,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,CB JENI Homes,45,2,6,-4,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,Normandy Homes,61,2,3,-1,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,Centre Living Homes,41,5,2,+3,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,The Providence Group,104,9,7,+2,captured
Week 11,2026-07-03,2026-07-09,2026-07-09,GHO Homes,38,0,1,-1,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,Total tracked,654,49,39,+10,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,Southgate Homes,19,0,0,0,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,Trophy Signature Homes,332,21,25,-4,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,CB JENI Homes,43,4,6,-2,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,Normandy Homes,66,5,0,+5,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,Centre Living Homes,43,3,1,+2,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,The Providence Group,113,14,5,+9,captured
Week 12,2026-07-10,2026-07-16,2026-07-16,GHO Homes,38,2,2,0,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,Total tracked,673,51,32,+19,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,Southgate Homes,20,1,0,+1,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,Trophy Signature Homes,349,34,17,+17,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,CB JENI Homes,41,6,8,-2,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,Normandy Homes,72,7,1,+6,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,Centre Living Homes,41,0,2,-2,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,The Providence Group,111,0,2,-2,captured
Week 13,2026-07-17,2026-07-23,2026-07-21,GHO Homes,39,3,2,+1,captured
